noe_barkhord_id,noe_barkhord,naqayes_moaser_rah_id,vaze_roshanaei,sharayet_sathe_rah_id,sharayet_sathe_rah,noe_shane_id,noe_shane,mavane_did_id,vaze_hava_id,vaze_hava,khatkeshi_id,khatkeshi,noe_tasadof,noe_tasadof_id,vaze_roshanaei_id
0,موتورسیکلت با یک وسیله نقلیه,9,روز,1,خشک و معمولی ,,شانه ندارد ,6,4,صاف ,,ندارد,جرحی,1,0
0,موتورسیکلت با یک وسیله نقلیه,9,شب با روشنایی کافی,1,خشک و معمولی ,,شانه ندارد ,6,4,صاف ,,ندارد,جرحی,1,1
0,موتورسیکلت با یک وسیله نقلیه,9,غروب,1,خشک و معمولی ,,شانه ندارد ,6,4,صاف ,,ندارد,جرحی,1,2
1,وسیله نقلیه با یک وسیله نقلیه,9,غروب,1,خشک و معمولی ,,شانه ندارد ,6,4,صاف ,,منقطع,جرحی,1,2
1,وسیله نقلیه با یک وسیله نقلیه,5,روز,1,خشک و معمولی ,,شانه ندارد ,5,4,صاف ,,ندارد,جرحی,1,0
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,1,خشک و معمولی ,,شانه ندارد ,6,4,صاف ,,ممتد,جرحی,1,0
1,وسیله نقلیه با یک وسیله نقلیه,9,شب با روشنایی کافی,1,خشک و معمولی ,,شانه ندارد ,2,4,صاف ,,منقطع,جرحی,1,1
1,وسیله نقلیه با یک وسیله نقلیه,9,شب با روشنایی کافی,1,خشک و معمولی ,,شانه ندارد ,6,4,صاف ,,ندارد,جرحی,1,1
1,وسیله نقلیه با یک وسیله نقلیه,9,روز,1,خشک و معمولی ,,شانه ندارد ,6,4,صاف ,,ممتد,جرحی,1,0
2,وسیله نقلیه با عابر,9,روز,1,خشک و معمولی ,,شانه ندارد ,6,4,صاف ,,منقطع,جرحی,1,0
2,وسیله نقلیه با عابر,9,روز,1,خشک و معمولی ,,شانه ندارد ,6,4,صاف ,,منقطع,جرحی,1,0
3,موتورسیکلت با عابر,9,روز,1,خشک و معمولی ,,شانه ندارد ,6,4,صاف ,,منقطع,جرحی,1,0
0,موتورسیکلت با یک وسیله نقلیه,9,روز,1,خشک و معمولی ,,شانه ندارد ,6,4,صاف ,,ندارد,جرحی,1,0
0,موتورسیکلت با یک وسیله نقلیه,9,روز,1,خشک و معمولی ,,شانه ندارد ,6,4,صاف ,,منقطع,جرحی,1,0
0,موتورسیکلت با یک وسیله نقلیه,9,شب با روشنایی کافی,1,خشک و معمولی ,,شانه ندارد ,6,4,صاف ,,منقطع,جرحی,1,1
0,موتورسیکلت با یک وسیله نقلیه,9,روز,1,خشک و معمولی ,,شانه ندارد ,6,1,ابری,,منقطع,جرحی,1,0
